GUID,NetVolume (m³),NetWeight (kg),OuterSurfaceArea (mm²),Area (mm²),Volume (m³),Area per tons (mm²),Net surface area (mm²),Volume (m³).1,Weight (kg),CenterOfGravityX (mm),CenterOfGravityZ (mm),CenterOfGravityY (mm),Height (mm),Length (mm),Width (mm),AnomalyFlag,Scores
3RR_Q9rkv9efxPA4L0dV$R,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2733.621317040776,20488.98806728956,2829.492967041343,24.0,24.0,8,1,0.1962872798112468
3EYeUy1AXDm8WMac2CCU6C,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.519947961025,18774.92107476305,1637.5069836451069,24.0,24.0,8,1,0.2032635290665906
1AqBf9HRTAqgbtkPa3Kuem,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2829.492967041343,21899.91331947736,2233.519947961025,24.0,24.0,8,1,0.2017271159764843
3431C0T3v21QfAvOkKvE5Q,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.441722046017,22870.012133833447,1637.5069836451069,24.0,24.0,8,1,0.1991548627248004
1btSN0n698i9a1JOVgcYgv,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,3233.477482401498,13657.967613293828,2233.441722046017,24.0,24.0,8,1,0.1953694351609907
2qRGKQcvrEWup6KyHRY9Rf,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1733.4183584051343,20488.98806728956,1637.5069836451069,24.0,24.0,8,1,0.1964347385061457
3NHyM_NdDBa9_K$EH6DxvE,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1637.5069836451069,22868.93162644736,2233.519947961025,24.0,24.0,8,1,0.2023838817919557
0vqkge_ab4QPa4PIr09D3J,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2829.492967041343,22869.42709570596,2233.004406882397,24.0,24.0,8,1,0.2017271159764843
1wcJdIWMf7MOdgbHdD$C6h,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2733.7543340068046,20277.90431180885,1637.5069836451069,24.0,24.0,8,1,0.1977187880519571
0bteLA2srDye$owBjKSv4h,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.441722046017,16270.991019302726,2997.935207490828,24.0,24.0,8,1,0.194381461409455
04e3P1Oz148BhFNC0hOCtc,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,3346.8237036833184,12378.804470032426,2233.519947961025,24.0,24.0,8,1,0.1919842018802171
3TR5zkgFDDreBAGafKomJE,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.441722046017,21899.91331947736,2829.492967041343,24.0,24.0,8,1,0.1990106531969293
1DL$7LbOX6jhx91yihyNtq,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.519947961025,17512.711325013326,2886.6301775640773,24.0,24.0,8,1,0.1970710602436992
2bnK_0Cq1AuQ_PPpp5IyVQ,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.519947961025,21899.91331947736,1637.5069836451069,24.0,24.0,8,1,0.199372854821399
09C5IAZWL3uvpta0FIB2SM,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1637.5069836451069,18776.919767275755,2233.519947961025,24.0,24.0,8,1,0.2046127325052828
0DLK3OtjPAMhrc56PcgluO,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2997.935207490828,16270.991019302726,2233.519947961025,24.0,24.0,8,1,0.2004570759122386
3t9YzcImb1rfIxAMvxaDfd,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,3117.139046620768,14941.163016827626,2233.441722046017,24.0,24.0,8,1,0.2004504417623773
39ymFT1vn3aOMxO628ecZa,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2234.74011919771,13658.092709286026,1233.5281065265324,24.0,24.0,8,1,0.1871726451065096
3U5shYouj5$QML55fTsywi,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.519947961025,16270.991019302726,1469.0647925091723,24.0,24.0,8,1,0.1986211451756039
1YCaW0GZ9D08CtLCXD2PD1,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1580.3698224359223,17512.711325013326,2233.519947961025,24.0,24.0,8,1,0.2032296329080045
0wTkQH8zH1fA1$eB_2Mq60,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.441722046017,17512.711325013326,1580.3698224359223,24.0,24.0,8,1,0.201264381949426
0BUFhWbcT9Hg0PLjXoTakd,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2886.6301775640773,17512.711325013326,2233.441722046017,24.0,24.0,8,1,0.2066190958319859
1YuiDZmNjC7RmIcJfZ1IOI,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1469.0647925091723,16270.991019302726,2233.441722046017,24.0,24.0,8,1,0.2000566669468037
014O9XEXz05B0fT8r9Vqs8,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.441722046017,18774.813057746345,2829.492967041343,24.0,24.0,8,1,0.201563709632765
36jxrpXiv98fZjjlAVkGdn,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.441722046017,14941.163016827626,1349.8609563928326,24.0,24.0,8,1,0.194732357169678
1tiAzMhxLBYOZkykSDGkTl,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.519947961025,14941.37153438374,3118.7812160668213,24.0,24.0,8,1,0.191255510408953
2ndemdlKDEwuj55RDASF6K,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1233.5281065265324,13657.967613293828,2233.519947961025,24.0,24.0,8,1,0.1949216071673912
3PnBDJcGL4eupOYhBh1aGU,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.441722046017,12378.804470032426,3346.8237036833184,24.0,24.0,8,1,0.1838478767296334
3JuktNvrH7LhCIDMgL6ACY,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1120.1762963165525,12378.804470032426,2233.441722046017,24.0,24.0,8,1,0.1950849075817117
0jmFRehU91kBaMiHLGOAwM,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.519947961025,12378.804470032426,1120.1762963165525,24.0,24.0,8,1,0.1844364200711579
3Fi4aTPsnCbuvBqEGlBmsb,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2829.492967041343,18776.919767275755,2233.441722046017,24.0,24.0,8,1,0.2066670454282833
0pPTjQyWv9cQin$pNJJsTg,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2829.492967041343,19904.96021042696,2233.284043666308,24.0,24.0,8,1,0.2051004803427391
1spov1m$P8APgcgAtncEsv,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2829.492967041343,20930.02333895296,2233.6277641273978,24.0,24.0,8,1,0.2027177022252526
2LNQ$tMdbAkAbr16lFAIFj,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2829.492967041343,23904.53551569425,2232.972524454798,24.0,24.0,8,1,0.2017271159764843
20HeeRnbX2h8OguZhKopu6,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,2233.004406882397,22869.54700346815,2829.492967041343,24.0,24.0,8,1,0.1990106531969293
26$jwYnsb3AfGtsmVUZOIM,3.5268104668e-06,0.0,0.0,1481.0199704601405,3.5268104668e-06,53495000.00000001,1000.0,0.0,0.03,1637.5069836451069,20930.02333895296,2233.441722046017,24.0,24.0,8,1,0.2031084419865406
