"GUID","Product Name","Product Description","NetVolume (m³)","NetWeight (kg)","OuterSurfaceArea (mm²)","Area (mm²)","Volume (m³)","Area per tons (mm²)","Net surface area (mm²)","Volume (m³)","Weight (kg)","CenterOfGravityX (mm)","CenterOfGravityZ (mm)","CenterOfGravityY (mm)","Height (mm)","Length (mm)","Width (mm)"
"017c6vQhr6UQb78wsR8Pgi","BEAM","L100*8","0.004639030846637683","36.416392146910304","1177878.882741","1211152.9496463516","0.004639030846637683","32053000","1211000","0.005","36.75","432.7345847862483","4495.007774711151","4034.265414980391","100","3020.2","100"
"2O9p6sEF17pA1o$lCuV$PI","BEAM","L100*8","0.004639030846637683","36.416392146910304","1177878.882741","1211152.9496463516","0.004639030846637683","32053000","1211000","0.005","36.75","162.73458478213328","1495.0077747111504","4304.265414976269","100","3020.2","100"
"1tUOgnogXEXgUVs3Y8N4gb","BEAM","L100*8","0.004639030846637683","36.416392146910304","1177878.882741","1211152.9496463516","0.004639030846637683","32053000","1211000","0.005","36.75","4304.265414976269","1495.0077747111504","4304.265414976269","100","3020.2","100"
"1fmDRoM291ZQFj4fbvIoMf","BEAM","L100*8","0.004639030846637683","36.416392146910304","1177878.882741","1211152.9496463516","0.004639030846637683","32053000","1211000","0.005","36.75","4034.265414980391","4495.007774711151","4034.265414980391","100","3020.2","100"
"2VJd526L936QcnKeVviDeT","BEAM","L100*8","0.004639030846637683","36.416392146910304","1177878.882741","1211152.9496463516","0.004639030846637683","32053000","1211000","0.005","36.75","4304.265414976269","1495.0077747111504","162.73458478213328","100","3020.2","100"
"2T8R7R4492FO3Wurq3q5uC","BEAM","L100*8","0.004639030846637683","36.416392146910304","1177878.882741","1211152.9496463516","0.004639030846637683","32053000","1211000","0.005","36.75","4034.265414980391","4495.007774711151","432.7345847862483","100","3020.2","100"
"1ruD6dxi589wWmyilCn3FQ","BEAM","L100*8","0.004639030846637683","36.416392146910304","1177878.882741","1211152.9496463516","0.004639030846637683","32053000","1211000","0.005","36.75","432.7345847862483","4495.007774711151","432.7345847862483","100","3020.2","100"
"3k15iv9fH1px2DHAOXUZVJ","BEAM","L100*8","0.004639030846637683","36.416392146910304","1177878.882741","1211152.9496463516","0.004639030846637683","32053000","1211000","0.005","36.75","162.73458478213328","1495.0077747111504","162.73458478213328","100","3020.2","100"
"3m0DTq_hTDQOmvMjwMUxVb","BEAM","L35*4","0.0003502855297503403","2.74974140853688","180450.131205187","186285.47789794437","0.0003502855297503403","64887000","186000","0","2.7800000000000002","2680.00187039576","25905.578466062307","2292.9040507279465","35","1326.8","35"
"1k959lhVDDDeA4whMLTj6D","BEAM","L35*4","0.0003502855297503403","2.74974140853688","180450.131205187","186285.47789794437","0.0003502855297503403","64887000","186000","0","2.7800000000000002","2292.9040507279465","25905.578466062307","1787.0000209379514","35","1326.8","35"
"2lpCpgxfL7HuixIeAjnsVh","BEAM","L35*4","0.0003502855297503403","2.74974140853688","180450.131205187","186285.47789794437","0.0003502855297503403","64887000","186000","0","2.7800000000000002","1787.0000209379514","25905.578466062307","2174.095950076283","35","1326.8","35"
"2N9Tyiyb90whI$LxZ_Q9Gp","BEAM","L35*4","0.0003502855297503403","2.74974140853688","180450.131205187","186285.47789794437","0.0003502855297503403","64887000","186000","0","2.7800000000000002","2174.095950076283","25905.578466062307","2679.9670117005576","35","1326.8","35"
"2KrK1h3i96OB6d2QfL7Yl9","BEAM","L40*4","0.00046516699648394406","3.65156092239896","242321.04530327203","245976.185758373","0.00046437669467501756","64107999.99999999","246000.00000000003","0","3.7800000000000002","2237.019025798602","24411.23557995681","2239.070173104404","40","1563.4","40"
"3FegZFNhH3Jwv$sKtopjLC","BEAM","L40*4","0.0005337758931864718","4.19014076150065","273477.05291679","281526.5379035244","0.0005337758931864718","64107999.99999999","282000.00000000006","0.001","4.270000000000001","2292.4838712155683","17467.81581930099","2874.9144050059354","40","1764.4","40"
"2f9cPBXsbD6ueYJFGWuBfw","BEAM","L40*4","0.0005337758931864718","4.19014076150065","273477.05291679","281526.5379035244","0.0005337758931864718","64107999.99999999","282000.00000000006","0.001","4.270000000000001","2174.516128784431","17467.81581930099","1592.0855949940653","40","1764.4","40"
"2H40rn9QjClxPeTDq6HCP7","BEAM","L40*4","0.0005337758931864718","4.19014076150065","273477.05291679","281526.5379035244","0.0005337758931864718","64107999.99999999","282000.00000000006","0.001","4.270000000000001","2874.9144050059354","17467.81581930099","2174.516128784431","40","1764.4","40"
"2OlRqt7enA7wgH5iRb077m","BEAM","L40*4","0.0005337758931864718","4.19014076150065","273477.05291679","281526.5379035244","0.0005337758931864718","64107999.99999999","282000.00000000006","0.001","4.270000000000001","1592.0855949940653","17467.81581930099","2292.4838712155683","40","1764.4","40"
"0L4mVdLgv4JuaI5EZ$2Yha","BEAM","L60*5","0.0013566093516454898","10.649383410419999","549721.6916397762","567386.946773576","0.0013566093516454898","50999000.00000001","567000.0000000001","0.001","10.78","3238.327359161816","2027.0663249552156","4301.029862289568","60","2359.3","60"
"1e12FVVLf2ehFhVMVathcS","BEAM","L60*5","0.0013566093516454898","10.649383410419999","549721.6916397762","567386.946773576","0.0013566093516454898","50999000.00000001","567000.0000000001","0.001","10.78","1228.672640838867","2027.0663249552156","165.97013772230272","60","2359.3","60"
