Plate_GUID,Assembly_GUID,Assembly_Name,Assembly_Tag,bolt_count
2ndemdlKDEwuj55RDASF6K,0yB8eLLiLE0RRFnDJ3cuFX,BEAM,A/10,1
0eW2S5g$zDgA6cBoI6HlEH,1H0MVbYI94eu9ZvCwu723f,BEAM,A/10,1
1tiAzMhxLBYOZkykSDGkTl,1vxo2RRKf13hXjP1s14JbH,BEAM,A/10,1
2h9lp3CUP4NOh1kacjv7NP,2s33l8lpX4duOqJ12kB7vk,BEAM,A/10,1
36jxrpXiv98fZjjlAVkGdn,3UgTCMxEX2zO44Rb4Xzana,BEAM,A/10,1
3t9YzcImb1rfIxAMvxaDfd,1xo$nHB7HEzPFKNUwQm4Sl,BEAM,A/10,1
0bteLA2srDye$owBjKSv4h,38O5T01SjFge7bxIc96y3c,BEAM,A/10,1
1YuiDZmNjC7RmIcJfZ1IOI,0zXxA4Z3T1r8pQ0WGxKaeP,BEAM,A/10,1
3U5shYouj5$QML55fTsywi,1zkHr5mM56Xw1hduRE4LuU,BEAM,A/10,1
0DLK3OtjPAMhrc56PcgluO,3B_KalKeXBzP0Wdb5xVL$j,BEAM,A/10,1
1DL$7LbOX6jhx91yihyNtq,2xdY9rRZz67xqKhrOKmt3N,BEAM,A/10,1
0BUFhWbcT9Hg0PLjXoTakd,2gorKVWlfEwO3WUwMEsNqf,BEAM,A/10,1
0wTkQH8zH1fA1$eB_2Mq60,1m7mv2Q0n3gg5scDFAzNj7,BEAM,A/10,1
1YCaW0GZ9D08CtLCXD2PD1,2doGOOyuD7_e1tdsy6mnID,BEAM,A/10,1
3VnOQHA4vCjOAZ_ovCrVM8,0$xGyJvqT2Uw7NfaCT3GM6,BEAM,A/128,2
2MPBeU9NrDtPUT4IQSeyc2,38XoZm4Mb5XBbK7pFYt4xk,BEAM,A/19,1
2Ns51tDaPFg9tyFy4b8u2s,0xekavd2j4OgvPeWlqRYf$,BEAM,A/128,2
22bUBkM3z39xk61JD5H8pw,3ckvmYqir3wRCmuZNBXj$w,BEAM,A/126,1
2mrtUMC3z8ORc3PaI5uBiP,1aDy9Z_Ab4ThMs1lxOFtsW,BEAM,A/60,1
3Cxsn03tT5HPIXUep6cfDg,2OMT5IbNzAhhTvy3Awrhxy,BEAM,A/60,1
2yMFX9kd92h9jXc_k63M7h,10qdxr6Nn4J9jqiNYXTte0,BEAM,A/44,3
1kqNs$RQXBrODXs99Qucqb,10qdxr6Nn4J9jqiNYXTte0,BEAM,A/44,3
07SqNiwrz0z9nuA2wFfSdT,1r$$4UyY9AKPSYLyQKpmza,BEAM,A/44,3
0c0IYnW9j4zR4qxPHxXhh7,1r$$4UyY9AKPSYLyQKpmza,BEAM,A/44,3
3QgTxd8WP9jBtNb0l0xu4F,1tfLEtrHj6gO8EhJJJlJKv,BEAM,A/35,3
3AvQsyQ3D0MehlKaWsssAl,1tfLEtrHj6gO8EhJJJlJKv,BEAM,A/35,3
2ysP5XLNP3aP8YFuOWq$tg,30JeKG9hnBDgr81kpdNdyl,BEAM,A/35,3
3avLKnre136wrm3YZrLXbp,30JeKG9hnBDgr81kpdNdyl,BEAM,A/35,3
0hxnmNCUP5Kv7XSEFJtnyf,2K3kC$BTjA$9yMvLrOxq$6,BEAM,A/124,1
2QkRsYHJbAD8HhScNy12Bn,0bUlLoR597yua3tfXF$Inw,BEAM,A/124,0
0zxkqP0XP5WQdAiSwEzEMS,39VPXxis9148izrZOxFIdq,BEAM,A/124,1
16KGaHC0DEEuLrKpbfeWYb,07OVg30hn438nMtGjeBWIb,BEAM,A/124,1
2D97vnGQn3fgksTLMhKxBE,1CJubXKpL02uqdBI$kc_Mb,BEAM,A/73,6
36lQxSRRj28PGWGMfev8MA,1CJubXKpL02uqdBI$kc_Mb,BEAM,A/73,6
2YmX1BB9LCUfaECZVlOnl0,1l6JS79YH6MfGLBnueeHLj,BEAM,A/73,6
2OZpNAscv99gBCHsNE$8_u,1l6JS79YH6MfGLBnueeHLj,BEAM,A/73,6
1HpYTjtfD8bAyGRxmae8lW,0GkHeQXbb4Wf4CiK6oEDkl,BEAM,A/124,0
2mjL8aWUr2GAlOwgpIJxig,3wRn9l4Uj8391wgLVZoO$h,BEAM,A/124,0
